id,Country,accomodation,accomodation_1,accomodation_2,accomodation_3,accomodation_4,accomodation_5,food,food_expensive
LTU,Lithuania,12.64,31.03,45.98,62.07,90.8,159.77,6.78,15.92
LUX,Luxembourg,33.33,93.1,96.55,103.45,127.59,177.01,12.53,56.9
MDG,Madagascar,10.34,0,28.74,40.23,109.2,158.62,5.75,11.49
MWI,Malawi,0,14.94,79.31,0,113.79,203.45,10.11,14.37
MYS,Malaysia,10.34,32.18,35.63,50.57,96.55,137.93,3.91,8.74
MLI,Mali,0,0,45.98,62.07,79.31,102.3,4.6,2.87
MEX,Mexico,16.09,48.28,75.86,191.95,306.9,368.97,5.98,12.93
MDA,Moldova,0,0,17.24,34.48,65.52,111.49,5.86,10.98
MNG,Mongolia,0,6.9,29.89,62.07,75.86,103.45,6.9,17.24
MNE,Montenegro,0,18.39,28.74,39.08,65.52,149.43,4.71,19.25
MAR,Morocco,11.49,42.53,47.13,57.47,96.55,228.74,07.01,14.02
MOZ,Mozambique,0,0,42.53,57.47,127.59,283.91,12.64,26.67
NAM,Namibia,0,0,48.28,71.26,81.61,150.57,6.32,21.21
NPL,Nepal,0,10.34,22.99,63.22,88.51,137.93,7.24,04.02
NLD,Netherlands,36.78,122.99,145.98,165.52,186.21,335.63,11.03,47.07
NCL,New Caledonia,0,0,78.16,116.09,193.1,703.45,10.8,61.61
NZL,New Zealand,0,19.54,82.76,134.48,175.86,239.08,9.66,38.45
NIC,Nicaragua,0,9.2,29.89,60.92,94.25,127.59,6.32,10.34
NGA,Nigeria,24.14,35.63,37.93,136.78,273.56,360.92,11.49,25.34
NOR,Norway,44.83,36.78,64.37,117.24,133.33,377.01,18.05,75.8
OMN,Oman,36.78,70.11,90.8,125.29,186.21,552.87,6.9,10.46
PAK,Pakistan,0,26.44,41.38,48.28,59.77,78.16,5.52,5.46
PAN,Panama,0,27.59,37.93,83.91,94.25,144.83,5.75,17.24
PNG,Papua New Guin,0,0,114.94,158.62,211.49,235.63,11.38,33.62
PRY,Paraguay,0,0,21.84,51.72,71.26,117.24,5.98,14.37
PER,Peru,0,17.24,31.03,54.02,137.93,345.98,06.09,14.83
POL,Poland,18.39,39.08,43.68,54.02,60.92,85.06,5.98,16.9
PRT,Portugal,19.54,40.23,45.98,50.57,81.61,87.36,8.62,23.56
PRI,Puerto Rico,0,68.97,87.36,127.59,167.82,279.31,7.47,28.74
QAT,Qatar,0,0,36.78,51.72,86.21,150.57,6.32,31.55
ROU,Romania,19.54,25.29,37.93,57.47,79.31,124.14,6.32,13.97
RUS,Russia,17.24,62.07,64.37,80.46,110.34,191.95,7.93,23.85
RWA,Rwanda,0,0,29.89,98.85,158.62,277.01,10,6.78
SAL,Saudi Arabia,0,19.54,57.47,70.11,185.06,248.28,06.09,14.37
SEM,Senegal,0,27.59,40.23,106.9,113.79,186.21,11.26,22.87
