division,sub-division,country,city,zip,lat,lon
Maintenance. Modifications & Operations,Bi Tebodin Middle East,Oman,Muscat,716,23.58589,58.405923
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Poland,Cracow,,50.06465,19.94498
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Poland,Gda?sk,,54.352025,18.646638
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Poland,Pozna?,,52.406374,16.925168
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Poland,Warsaw,,52.229676,21.012229
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Poland,Wroc?aw,,51.107885,17.038538
Engineering & Technologies,Bi Tebodin B.V.,Qatar,Doha,47508,25.285447,51.53104
Maintenance. Modifications & Operations,Bi Deutsche Babcock Middle East,Qatar,Doha,47508,25.285447,51.53104
Maintenance. Modifications & Operations,Bi Tebodin Middle East,Qatar,Doha,47508,25.285447,51.53104
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Romania,Bucharest,77190,44.426767,26.102538
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Romania,Ploiesti,77190,44.936664,26.012862
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Russia,Ekaterinburg,620014,56.838926,60.605703
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Russia,Moscow,105210,55.755826,37.6173
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Russia,Rostov-on-don,344006,47.235714,39.701505
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Russia,St. Petersburg,196191,59.93428,30.335099
Maintenance. Modifications & Operations,Bi Deutsche Babcock Middle East,Saudi Arabia,Al Khobar,,26.217191,50.197138
Engineering & Technologies,Bi Tebodin B.V.,Saudi Arabia,Jeddah,21514,21.285407,39.237551
Maintenance. Modifications & Operations,Bi Deutsche Babcock Middle East,Saudi Arabia,Jeddah,,21.285407,39.237551
Maintenance. Modifications & Operations,Bi Tebodin Middle East,Saudi Arabia,Jeddah,21514,21.285407,39.237551
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Serbia,Belgrade,11070,44.786568,20.448922
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Slovakia,Bratislava,,48.148597,17.107748
Engineering & Technologies,Bi Tebodin B.V.,UAE,Abu Dhabi,2652,24.453884,54.377344
Maintenance. Modifications & Operations,Bi Deutsche Babcock Middle East,UAE,Abu Dhabi,,24.453884,54.377344
Maintenance. Modifications & Operations,Bi Tebodin Middle East,UAE,Abu Dhabi,2652,24.453884,54.377344
Engineering & Technologies,Bi Tebodin B.V.,UAE,Dubai,8092,25.204849,55.270783
Maintenance. Modifications & Operations,Bi Deutsche Babcock Middle East,UAE,Dubai,,25.204849,55.270783
Maintenance. Modifications & Operations,Bi Tebodin Middle East,UAE,Dubai,8092,25.204849,55.270783
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Ukraine,Kiev,4073,50.4501,30.5234
Engineering & Technologies,Bi Tebodin Central & Eastern Europe,Ukraine,Lviv,79015,49.839683,24.029717
