division,sub-division,country,city,zip,lat,lon
Maintenance. Modifications & Operations,Bi Industrial Services Finland,Finland,Harjavalta,FI-29200,61.31371,22.141306
Maintenance. Modifications & Operations,Bi Industrial Services Finland,Finland,Jyväskylä,FI-40500,62.242603,25.747257
Maintenance. Modifications & Operations,Bi Industrial Services Finland,Finland,Kotka,FI-48600,60.466567,26.94594
Maintenance. Modifications & Operations,Bi Industrial Services Finland,Finland,Kulloo,FI-06850,60.341552,25.485103
Maintenance. Modifications & Operations,Bi Industrial Services Finland,Finland,Naantali,FI-21100,60.466088,22.025087
Maintenance. Modifications & Operations,Bi Industrial Services Finland,Finland,Oulu,FI-90400,65.012089,25.465077
Maintenance. Modifications & Operations,Bi Industrial Services Finland,Finland,Raahe,FI-92120,64.683954,24.488365
Maintenance. Modifications & Operations,Bi Industrial Services Finland,Finland,Rauma,FI-26100,61.130885,21.505926
Engineering & Technologies,Bi LTM Industrie,France,Gonfreville,76700,49.502579,0.233079
Engineering & Technologies,Bi LTM Industrie,France,Toussieu,69780,45.654397,4.985048
Engineering & Technologies,Bi Peters Engineering,France,Malakoff,F-92240,48.817275,2.29776
Engineering & Technologies,Bi Peters Engineering,France,Toussieu,F- 69780,45.654397,4.985048
Maintenance. Modifications & Operations,Bi Industrial Services Prefal,France,Petiville,76330,49.242471,-0.175009
Maintenance. Modifications & Operations,Bi Industrial Services Prefal,France,Martigues,13500,43.404811,5.053728
Engineering & Technologies,Bi EMS,Germany,Cloppenburg,49661,52.844198,8.053016
Engineering & Technologies,Bi EMS,Germany,Stade Snow,21683,53.623758,9.490766
Engineering & Technologies,Bi EMS,Germany,Wilhelmshaven,26388,53.53234,8.106872
Engineering & Technologies,Bi EMS,Germany,Emden,26723,53.359403,7.206009
Engineering & Technologies,Bi EMS,Germany,Salzwedel,29410,52.850339,11.164668
Engineering & Technologies,Bi EMS,Germany,Neuenkirchen,26943,52.239462,7.371455
Engineering & Technologies,Bi EMS,Germany,Oberhausen,46047,51.496334,6.863776
Engineering & Technologies,Bi EMS,Germany,Buseck,35418,50.608277,8.782881
Engineering & Technologies,Bi Engineering & Technologies,Germany,Würzburg,97080,49.791304,9.953355
Engineering & Technologies,Bi Engineering & Technologies,Germany,Stuttgart,70191,48.775846,9.182932
Engineering & Technologies,Bi Engineering & Technologies,Germany,Berlin,12459,52.520007,13.404954
